TheGalaxy         17:45:40.0 -29:0:28 9.999 0.0 9.99 9.99  999.9 99.9 99.9 99.9 9.9 9.9 999.9 99.9 99.9 9.99 9.99 9.99 99.9 9.9 9.9  99.99  9.99  9.99 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9  9.99 9.99 9.99 9 (0)         
SagittariusdSph   18:55:19.5 -30:32:43 0.153 17.10 0.15 0.15  140.0  2.0  2.0  3.6 0.3 0.3 102.0  2.0  2.0 0.64 0.02 0.02 25.2 0.3 0.3 342.00 12.00 12.00 11.4  0.7  0.7 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -0.40 0.20 0.20 1 (3)(4)(96)(97)(128)(129)(130)(177)
Segue(I)          10:7:4.0  16:4:55 0.031 16.80 0.20 0.20  208.5  0.9  0.9 15.3 0.8 0.8  85.0  8.0  8.0 0.48 0.13 0.13 27.6 1.0 1.0   4.40  1.20  0.60  3.9  0.8  0.8 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.72 0.40 0.40 2 (5)(6)(98)(130)(178)
UrsaMajorII      08:51:30.0  63:7:48 0.094 17.50 0.30 0.30 -116.5  1.9  1.9 13.3 0.5 0.5  98.0  4.0  4.0 0.63 0.05 0.05 27.9 0.6 0.6  16.00  1.00  1.00  6.7  1.4  1.4 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.47 0.06 0.06 2 (7)(8)(98)(130)(179)(180)
BootesII          13:58:0.0  12:51:0 0.031 18.10 0.06 0.06 -117.0  5.2  5.2 15.4 0.9 0.9 145.0 55.0 55.0 0.21 0.21 0.21 28.1 1.6 1.6   4.20  1.40  1.40 10.5  7.4  7.4 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -1.79 0.05 0.05 3 (9)(10)(98)(130)
SegueII           02:19:16.0  20:10:31 0.185 17.70 0.10 0.10  -39.2  2.5  2.5 15.2 0.3 0.3 182.0 17.0 17.0 0.15 0.10 0.10 27.4 0.4 0.4   3.40  0.20  0.20  3.4  2.5  1.2 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -2.00 0.25 0.25 1 (11)
Willman1          10:49:21.0  51:3:0 0.014 17.90 0.40 0.40  -12.3  2.5  2.5 15.2 0.7 0.7  77.0  5.0  5.0 0.47 0.08 0.08 26.1 0.9 0.9   2.30  0.40  0.40  4.3  2.3  1.3 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.10 9.99 9.99 2 (12)(13)(98)(130)(181)
ComaBerenices     12:26:59.0  23:54:15 0.017 18.20 0.20 0.20   98.1  0.9  0.9 14.1 0.5 0.5 115.0 10.0 10.0 0.38 0.14 0.14 27.3 0.7 0.7   6.00  0.60  0.60  4.6  0.8  0.8 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.60 0.05 0.05 2 (5)(8)(98)(130)(179)(180)
BootesIII         13:57:12.0  26:48:0 0.021 18.35 0.10 0.10  197.5  3.8  3.8 12.6 0.5 0.5  90.0 99.9 99.9 0.50 9.99 9.99 31.3 0.3 0.3  99.99  9.99  9.99 14.0  3.2  3.2 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -2.10 0.20 0.20 2 (14)(15)(99)
LMC                05:23:34.5 -69:45:22 0.926 18.52 0.09 0.09  262.2  3.4  3.4  0.4 0.1 0.1 999.9 99.9 99.9 9.99 9.99 9.99 99.9 9.9 9.9  99.99  9.99  9.99 20.2  0.5  0.5 49.8 15.9 15.9 460. 15.8  0.2  0.2  63.0  3.0  3.0 -0.50 9.99 9.99 3 (16)(17)(41)(131)(132)(182)
